JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2450489.2,10.6,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450510.3,11,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450514.6,10.9,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450517.3,11,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450545.6,11.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450555.6,11.5,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450557.5,11.5,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450571.5,11.5,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450571.5,11.7,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450578.5,11.6,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450585.4,11.8,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450591.6,11.8,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450598.419,12.1,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450599.5,12,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450600.568,12.4,,,Vis.,BMM,,,,,,,,V,,,,LX CYG,,STD,,,,
2450604.759,12.4,,,Vis.,SCE,,,,,,,,V,,,,LX CYG,,STD,,,,
2450632.533,12.7,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450639.519,11.6,,,V,MEK,,,,,,,,V,,,,LX CYG,,STD,,,,
2450641.4,12.5,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450648.5,12.5,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450655.772,13.1,,,Vis.,SCE,,,,,,,,V,,,,LX CYG,,STD,,,,
2450658.4,13.2,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450659.4,13.7,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450663.413,13.9,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450664.5,13.7,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450670.4,13.8,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450671.4,13.7,,,Vis.,SCZ,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450672.391,14.1,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450674.7,13,,,Vis.,HZL,IR,,,,,,,V,,,,LX CYG,,STD,,,,
2450684.604,14,,,Vis.,GPR,,,,,,,,V,,,,LX CYG,,STD,,,,
2450692.5,14.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450697.681,14.5,,,Vis.,HTY,S,,,,,,,V,,,,LX CYG,,STD,,,,
2450699.6,14.1,,,Vis.,POX,,,,,,,,V,,,,LX CYG,,STD,,,,
2450700.406,14,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450702.6,14.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450712.3,14.2,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450720.4,14.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450723.54,14.3,,,Vis.,GPR,S,,,,,,,V,,,,LX CYG,,STD,,,,
2450726.3,14.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450732.5,14.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450739.46,14,,,Vis.,GPR,S,,,,,,,V,,,,LX CYG,,STD,,,,
2450744.284,14,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450746.3,14.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450750.3,14.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450750.6,13.9,,,Vis.,MKJ,,,,,,,,V,,,,LX CYG,,STD,,,,
2450752.622,14,,,Vis.,GPR,,,,,,,,V,,,,LX CYG,,STD,,,,
2450753.335,14.1,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450757.4,14.2,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450769.578,13.3,,,Vis.,MKJ,,,,,,,,V,,,,LX CYG,,STD,,,,
2450770.3,14,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450792.3,12.3,,,Vis.,GUN,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450818.2,12.2,,,Vis.,GUN,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450844.8,12.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450898.7,10.5,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450922.5,10.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450922.644,10.1,,,Vis.,BMM,,,,,,,,V,,,,LX CYG,,STD,,,,
2450926.57,10.6,,,Vis.,MPR,,,,,,,,V,,,,LX CYG,,STD,,,,
2450934.59,10,,,Vis.,MPR,,,,,,,,V,,,,LX CYG,,STD,,,,
2450937.5,10.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450943.4,10.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450945.601,10.2,,,Vis.,BMM,,,,,,,,V,,,,LX CYG,,STD,,,,
2450947.6,10.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450950.61,10,,,Vis.,MPR,,,,,,,,V,,,,LX CYG,,STD,,,,
2450951.559,10.4,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450952.5,10.1,,,Vis.,BMM,,,,,,,,V,,,,LX CYG,,STD,,,,
2450961.5,10.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450964.55,10,,,Vis.,MPR,,,,,,,,V,,,,LX CYG,,STD,,,,
2450968.5,10.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450972.5,10.2,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450977.5,10.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450984.5,10.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450984.568,10.2,,,Vis.,BMM,,,,,,,,V,,,,LX CYG,,STD,,,,
2450990.449,10.2,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450999.8,9.7,,,Vis.,BMK,,,,,,,,V,,,,LX CYG,,STD,,,,
2451004.5,10.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451008.5,10.5,,,Vis.,KOS,,,,,,,,V,,,,LX CYG,MCSE,STD,,,,
2451012.5,10.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451014.401,10.7,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2451019.4,10.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451025.5,10.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451033.4,10.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451036.413,10.4,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2451037.4,10.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451040.3,9.8,,,Vis.,THU,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2451047.6,10.3,,,Vis.,POX,,,,,,,,V,,,,LX CYG,,STD,,,,
2451048.642,10.5,,,Vis.,HTY,,,,,,,,V,,,,LX CYG,,STD,,,,
2451048.644,10.4,,,Vis.,GPR,,,,,,,,V,,,,LX CYG,,STD,,,,
2451050.462,10.5,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2451053.823,10.7,,,Vis.,HK,,,,,,,,V,,,,LX CYG,,STD,,,,
2451057.4,10.8,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451062.5,10.6,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451064.4,10.3,,,Vis.,POX,,,,,,,,V,,,,LX CYG,,STD,,,,
2451067.449,10.6,,,Vis.,BMM,,,,,,,,V,,,,LX CYG,,STD,,,,
2451068.4,10.6,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451076.076,10.3,,,Vis.,SSU,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2451077.382,10.6,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2451079.4,10.6,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451084.788,10.9,,,Vis.,HK,,,,,,,,V,,,,LX CYG,,STD,,,,
